iter	Passed	Remaining
0	1	137
1	2	117
2	3	108
3	4	98
4	5	103
5	6	108
6	8	109
7	9	110
8	10	109
9	12	108
10	13	106
11	14	104
12	15	102
13	16	101
14	17	99
15	18	97
16	19	96
17	20	94
18	21	92
19	22	90
20	23	88
21	24	86
22	25	84
23	25	81
24	26	79
25	27	77
26	27	75
27	28	73
28	29	71
29	29	69
30	30	67
31	31	65
32	31	64
33	32	62
34	32	61
35	33	59
36	34	58
37	34	56
38	35	55
39	35	53
40	36	52
41	36	50
42	37	49
43	37	48
44	38	46
45	39	45
46	39	44
47	40	43
48	40	42
49	41	41
50	41	40
51	42	39
52	43	38
53	43	37
54	43	35
55	44	34
56	44	33
57	45	32
58	46	32
59	46	31
60	47	30
61	47	29
62	48	28
63	48	27
64	49	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	54	19
74	55	18
75	55	17
76	56	16
77	56	15
78	57	15
79	57	14
80	57	13
81	58	12
82	58	12
83	59	11
84	59	10
85	60	9
86	60	9
87	61	8
88	61	7
89	62	6
90	63	6
91	63	5
92	64	4
93	64	4
94	65	3
95	65	2
96	66	2
97	66	1
98	67	0
99	68	0
